Year,Type,ML Enrollment,Undergraduate Enrollment
1970 Fall,4 year,952333,5049688
1972 Fall,4 year,855831,5315304
1974 Fall,4 year,757748,5580920
1977 Fall,4 year,742177,5808220
1980 Fall,4 year,737639,5949958
1983 Fall,4 year,778101,6019341
1986 Fall,4 year,808486,6118427
1990 Fall,4 year,922030,6719023
1995 Fall,4 year,866980,6739621
1998 Fall,4 year,910737,6947623
2002 Fall,4 year,1021860,7727879
2006 Fall,4 year,1170232,8666288
2009 Fall,4 year,1242994,9941598
2013 Fall,4 year,1189790,10505660
2016 Fall,4 year,1105173,10782231
1970 Fall,2 year,155154,2318956
1972 Fall,2 year,151878,2977664
1974 Fall,2 year,154713,3636372
1977 Fall,2 year,163464,4189474
1980 Fall,2 year,162716,4525097
1983 Fall,2 year,163023,4528685
1986 Fall,2 year,161683,4679548
1990 Fall,2 year,227625,5240083
1995 Fall,2 year,233123,5492098
1998 Fall,2 year,243096,5489314
2002 Fall,2 year,337304,6529198
2006 Fall,2 year,364980,6513303
2009 Fall,2 year,393050,7522581
2013 Fall,2 year,343245,6970644
2016 Fall,2 year,288741,6092418